ref_area.label,indicator.label,source.label,time,obs_value,obs_status.label,note_indicator.label,note_source.label
Denmark,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2003,20,,,Repository: Eurostat special tabulation
Denmark,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2004,18.9,,,Repository: Eurostat special tabulation
Denmark,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2005,20.6,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Denmark,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2006,19.2,,,Repository: Eurostat special tabulation
Denmark,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2007,25.3,,,Repository: Eurostat special tabulation
Denmark,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2008,18.3,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Denmark,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2009,18.8,,,Repository: Eurostat special tabulation
Denmark,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2010,17.7,,,Repository: Eurostat special tabulation
Denmark,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2011,28.5,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Denmark,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2012,24.5,,,Repository: Eurostat special tabulation
Denmark,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2013,23.7,,,Repository: Eurostat special tabulation
Denmark,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2014,23.4,,,Repository: Eurostat special tabulation
Denmark,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2015,26.2,,,Repository: Eurostat special tabulation
Denmark,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2016,28,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Denmark,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2017,27,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Denmark,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2018,26.3,,,Repository: Eurostat special tabulation
Denmark,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2019,26.6,,,Repository: Eurostat special tabulation
Denmark,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2020,28,,,Repository: Eurostat special tabulation
Dominican Republic,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Nacional Continua de Fuerza de Trabajo,2015,48.3,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Dominican Republic,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Nacional Continua de Fuerza de Trabajo,2016,47.6,,,Repository: ILO-STATISTICS - Micro data processing
Dominican Republic,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Nacional Continua de Fuerza de Trabajo,2017,51.3,,,Repository: ILO-STATISTICS - Micro data processing
Dominican Republic,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Nacional Continua de Fuerza de Trabajo,2018,45.6,,,Repository: ILO-STATISTICS - Micro data processing
Dominican Republic,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Nacional Continua de Fuerza de Trabajo,2019,50.6,,,Repository: ILO-STATISTICS - Micro data processing
Dominican Republic,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Nacional Continua de Fuerza de Trabajo,2020,47.6,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Dominican Republic,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Nacional de Fuerza de Trabajo,2000,36.9,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Dominican Republic,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Nacional de Fuerza de Trabajo,2001,40,,,Repository: ILO-STATISTICS - Micro data processing
Dominican Republic,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Nacional de Fuerza de Trabajo,2002,31.5,,,Repository: ILO-STATISTICS - Micro data processing
Dominican Republic,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Nacional de Fuerza de Trabajo,2003,39,,,Repository: ILO-STATISTICS - Micro data processing
Dominican Republic,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Nacional de Fuerza de Trabajo,2004,40.3,,,Repository: ILO-STATISTICS - Micro data processing
Dominican Republic,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Nacional de Fuerza de Trabajo,2005,45.1,,,Repository: ILO-STATISTICS - Micro data processing
Dominican Republic,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Nacional de Fuerza de Trabajo,2006,45,,,Repository: ILO-STATISTICS - Micro data processing
Dominican Republic,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Nacional de Fuerza de Trabajo,2007,38.6,,,Repository: ILO-STATISTICS - Micro data processing
Dominican Republic,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Nacional de Fuerza de Trabajo,2008,37.5,,,Repository: ILO-STATISTICS - Micro data processing
Dominican Republic,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Nacional de Fuerza de Trabajo,2009,45.4,,,Repository: ILO-STATISTICS - Micro data processing
Dominican Republic,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Nacional de Fuerza de Trabajo,2010,46.2,,,Repository: ILO-STATISTICS - Micro data processing
Dominican Republic,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Nacional de Fuerza de Trabajo,2011,51.8,,,Repository: ILO-STATISTICS - Micro data processing
Dominican Republic,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Nacional de Fuerza de Trabajo,2012,58,,,Repository: ILO-STATISTICS - Micro data processing
Dominican Republic,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Nacional de Fuerza de Trabajo,2013,46.6,,,Repository: ILO-STATISTICS - Micro data processing
Dominican Republic,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Nacional de Fuerza de Trabajo,2014,46.7,,,Repository: ILO-STATISTICS - Micro data processing
Ecuador,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",2003,34.4,,,Repository: ILO-STATISTICS - Micro data processing
Ecuador,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",2004,32.9,,,Repository: ILO-STATISTICS - Micro data processing
Ecuador,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",2005,33.7,,,Repository: ILO-STATISTICS - Micro data processing
Ecuador,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",2006,30.2,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Ecuador,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",2007,40.1,,,Repository: ILO-STATISTICS - Micro data processing
Ecuador,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",2008,33.6,,,Repository: ILO-STATISTICS - Micro data processing
Ecuador,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",2009,32.7,,,Repository: ILO-STATISTICS - Micro data processing
Ecuador,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",2010,33.6,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Ecuador,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",2011,43.9,,,Repository: ILO-STATISTICS - Micro data processing
Ecuador,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",2012,43.2,,,Repository: ILO-STATISTICS - Micro data processing
Ecuador,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",2013,34.6,,,Repository: ILO-STATISTICS - Micro data processing
Ecuador,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",2014,35.7,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Ecuador,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",2015,33.5,,,Repository: ILO-STATISTICS - Micro data processing
Ecuador,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",2016,34,,,Repository: ILO-STATISTICS - Micro data processing
Ecuador,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",2017,35.3,,,Repository: ILO-STATISTICS - Micro data processing
Ecuador,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",2018,35.5,,,Repository: ILO-STATISTICS - Micro data processing
Ecuador,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",2019,37.3,,,Repository: ILO-STATISTICS - Micro data processing
Ecuador,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",2020,39.4,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Ecuador,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",2021,37.6,,,Repository: ILO-STATISTICS - Micro data processing
Egypt,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Sample Survey,2008,13.9,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Egypt,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Sample Survey,2009,14,,,Repository: ILO-STATISTICS - Micro data processing
Egypt,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Sample Survey,2010,13.9,,,Repository: ILO-STATISTICS - Micro data processing
Egypt,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Sample Survey,2011,13.5,,,Repository: ILO-STATISTICS - Micro data processing
Egypt,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Sample Survey,2012,9.7,,,Repository: ILO-STATISTICS - Micro data processing
Egypt,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Sample Survey,2013,7.1,,,Repository: ILO-STATISTICS - Micro data processing
Egypt,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Sample Survey,2015,6.4,,,Repository: ILO-STATISTICS - Micro data processing
Egypt,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Sample Survey,2016,7.1,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Egypt,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Sample Survey,2017,6.4,,,Repository: ILO-STATISTICS - Micro data processing
Egypt,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Sample Survey,2018,7.4,,,Repository: ILO-STATISTICS - Micro data processing
Egypt,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Sample Survey,2019,7.1,,,Repository: ILO-STATISTICS - Micro data processing
Spain,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2000,15.5,,,Repository: Eurostat special tabulation
Spain,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2001,17.6,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Spain,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2002,18.1,,,Repository: Eurostat special tabulation
Spain,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2003,15.9,,,Repository: Eurostat special tabulation
Spain,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2004,19.1,,,Repository: Eurostat special tabulation
Spain,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2005,21.5,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Spain,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2006,23.1,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Spain,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2007,23.8,,,Repository: Eurostat special tabulation
Spain,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2008,23.7,,,Repository: Eurostat special tabulation
Spain,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2009,24.7,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Spain,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2010,27.1,,,Repository: Eurostat special tabulation
Spain,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2011,28.1,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Spain,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2012,28.8,,,Repository: Eurostat special tabulation
Spain,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2013,29.4,,,Repository: Eurostat special tabulation
Spain,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2014,29.5,,,Repository: Eurostat special tabulation
Spain,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2015,30.4,,,Repository: Eurostat special tabulation
Spain,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2016,30.3,,,Repository: Eurostat special tabulation
Spain,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2017,30.9,,,Repository: Eurostat special tabulation
Spain,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2018,31.9,,,Repository: Eurostat special tabulation
Spain,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2019,33.7,,,Repository: Eurostat special tabulation
Spain,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2020,36.5,,,Repository: Eurostat special tabulation
Estonia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2000,34.8,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Estonia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2001,38.2,,,Repository: Eurostat special tabulation
Estonia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2002,37.2,,,Repository: Eurostat special tabulation
Estonia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2003,34.8,,,Repository: Eurostat special tabulation
Estonia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2004,41.2,,,Repository: Eurostat special tabulation
Estonia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2005,41,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Estonia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2006,39.6,,,Repository: Eurostat special tabulation
Estonia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2007,34.9,,,Repository: Eurostat special tabulation
Estonia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2008,36.6,,,Repository: Eurostat special tabulation
Estonia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2009,34.3,,,Repository: Eurostat special tabulation
Estonia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2010,38.4,,,Repository: Eurostat special tabulation
Estonia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2011,34.6,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Estonia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2012,31.6,,,Repository: Eurostat special tabulation
Estonia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2013,32.8,,,Repository: Eurostat special tabulation
Estonia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2014,30.8,,,Repository: Eurostat special tabulation
Estonia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2015,28.1,,,Repository: Eurostat special tabulation
Estonia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2016,31.8,,,Repository: Eurostat special tabulation
Estonia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2017,34.7,,,Repository: Eurostat special tabulation
Estonia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2018,33.5,,,Repository: Eurostat special tabulation
Estonia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2019,35.5,,,Repository: Eurostat special tabulation
Estonia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2020,35.9,,,Repository: Eurostat special tabulation
Ethiopia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - National Labor Force Survey,1999,14.1,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Ethiopia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - National Labor Force Survey,2005,15.1,,,Repository: ILO-STATISTICS - Micro data processing
Ethiopia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - National Labor Force Survey,2013,21.1,,,Repository: ILO-STATISTICS - Micro data processing
Ethiopia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - National Labor Force Survey,2021,27,,,Repository: ILO-STATISTICS - Micro data processing
Finland,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2000,27.6,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Finland,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2001,29.7,,,Repository: Eurostat special tabulation
Finland,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2002,30.2,,,Repository: Eurostat special tabulation
Finland,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2003,30.9,,,Repository: Eurostat special tabulation
Finland,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2004,30.7,,,Repository: Eurostat special tabulation
Finland,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2005,32.7,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Finland,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2006,33.9,,,Repository: Eurostat special tabulation
Finland,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2007,32.3,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Finland,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2008,33.6,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Finland,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2009,34.7,,,Repository: Eurostat special tabulation
Finland,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2010,34.3,,,Repository: Eurostat special tabulation
Finland,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2011,31.1,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Finland,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2012,29.7,,,Repository: Eurostat special tabulation
Finland,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2013,29.5,,,Repository: Eurostat special tabulation
Finland,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2014,34.3,,,Repository: Eurostat special tabulation
Finland,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2015,33.5,,,Repository: Eurostat special tabulation
Finland,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2016,34.1,,,Repository: Eurostat special tabulation
Finland,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2017,31.4,,,Repository: Eurostat special tabulation
Finland,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2018,32,,,Repository: Eurostat special tabulation
Finland,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2019,36.8,,,Repository: Eurostat special tabulation
Finland,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2020,37.5,,,Repository: Eurostat special tabulation
Fiji,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),"LFS - Employment, Unemployment Survey",2011,30.7,,,Repository: ILO-STATISTICS - Micro data processing
Fiji,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),"LFS - Employment, Unemployment Survey",2016,38.6,,,Repository: ILO-STATISTICS - Micro data processing
France,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2000,31.7,,,Repository: Eurostat special tabulation
France,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2001,32.6,,,Repository: Eurostat special tabulation
France,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2002,34.5,,,Repository: Eurostat special tabulation
France,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2003,32.5,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
France,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2004,33.1,,,Repository: Eurostat special tabulation
France,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2005,36.3,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
France,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2006,37,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
France,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2007,36.5,,,Repository: Eurostat special tabulation
France,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2008,36.8,,,Repository: Eurostat special tabulation
France,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2009,37.4,,,Repository: Eurostat special tabulation
France,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2010,38.5,,,Repository: Eurostat special tabulation
France,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2011,39.1,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
France,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2012,39.2,,,Repository: Eurostat special tabulation
France,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2013,35.6,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
France,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2014,32,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
France,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2015,31,,,Repository: Eurostat special tabulation
France,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2016,31.2,,,Repository: Eurostat special tabulation
France,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2017,32.6,,,Repository: Eurostat special tabulation
France,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2018,34.4,,,Repository: Eurostat special tabulation
France,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2019,34.3,,,Repository: Eurostat special tabulation
France,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2020,34.9,,,Repository: Eurostat special tabulation
"Micronesia, Federated States of",SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),HIES - Household Income and Expenditure Survey,2014,18.2,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: Nonstandard minimum age
United Kingdom,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2000,34.7,,,Repository: Eurostat special tabulation
United Kingdom,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2001,29.6,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
United Kingdom,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2002,31.4,,,Repository: Eurostat special tabulation
